run_temperature,n,pearson,spearman,kendall,spearman_ci_low,spearman_ci_high,mean_abs_rank_diff
0.5,79,0.56***,0.60***,0.43***,0.4233527935084508,0.7393363277620609,15.379746835443038
1.0,79,0.52***,0.54***,0.38***,0.3592130671866295,0.6910249603396059,16.240506329113924
1.5,79,0.53***,0.52***,0.37***,0.31537586208602025,0.6649406894651654,17.39240506329114
