UID,k1-A1,k1-A2,k1-B1,k1-B2,k1-B3,k1-B4,k1-C1,k1-C2,k1-C3,k1-D1,k1-D2,k2-A1,k2-A2,k2-B1,k2-B2,k2-B3,k2-B4,k2-C1,k2-C2,k2-C3,k2-D1,k2-D2,k3-A1,k3-A2,k3-B1,k3-B2,k3-B3,k3-B4,k3-C1,k3-C2,k3-C3,k3-D1,k3-D2,more_than_3_annotators
U65,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,False
U66,0.5,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,False
U67,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.0,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,False
U68,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.5,False
U69,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,False
U7,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,False
U70,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,0.5,False
U71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,False
U72,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False
U73,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.0,0.5,0.0,0.0,False
U74,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.5,False
U75,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.5,0.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,False
U76,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,False
U77,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,False
U78,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,False
U79,1.0,0.5,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,False
U8,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,False
U9,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,False
