Institution
University of Michigan at Ann Arbor
Rowan University
Lewis & Clark College
Lafayette College
"California State University, Long Beach"
University of North Carolina at Chapel Hill
Chapman University
Howard University
University of Wyoming
The Ohio State University
Mercer University
Northern Illinois University
University of South Alabama
Fordham University
Illinois State University
Pepperdine University
Montclair State University
Lake Forest College
Carleton College
University of Washington-Seattle
San José State University
Southern University and A & M College
Colby College
Skidmore College
Saint Louis University
Reed College
Southern Wesleyan University
Davidson College
University of Colorado Colorado Springs
University of Illinois Urbana-Champaign
Wofford College
Georgia Southern University
University of Denver
Westminster University
Ball State University
Rhodes College
Clark University
Abilene Christian University
Wesleyan University
Kean University
Occidental College
Long Island University
Marquette University
Beloit College
Grinnell College
Jackson State University
Clark Atlanta University
Creighton University
University of Massachusetts at Dartmouth
