group,n,pearson_r,pearson_p,pearson_sig,spearman_r,spearman_p,spearman_sig,spearman_ci_low,spearman_ci_high,kendall_tau,kendall_p,kendall_sig,mean_abs_rank_diff,median_abs_rank_diff,max_abs_rank_diff
Midwest,60,0.3,0.02,0.30*,0.354,0.005,0.35**,0.093,0.617,0.275,0.002,0.27**,14.433,8.0,56.0
Northeast,60,0.814,0.0,0.81***,0.77,0.0,0.77***,0.61,0.858,0.572,0.0,0.57***,9.033,7.5,28.0
South,63,0.54,0.0,0.54***,0.54,0.0,0.54***,0.351,0.67,0.37,0.0,0.37***,15.0,14.0,36.5
West,54,0.637,0.0,0.64***,0.578,0.0,0.58***,0.346,0.738,0.415,0.0,0.42***,11.648,10.5,32.0
